RowID,MeanIndProduction,VarIndProduction,ResInflow,MaxGrowthRate,MaxMetMaint,MaxActiveDispersal,StartingSeed,width,height,MeanTotalAbundance,VarTotalAbundance,ImmigrationRate,MeanResourceConcentration,VarResourceConcentration,MeanResourceParticles,VarResourceParticles,MeanPerCapitaGrowth,VarPerCapitaGrowth,MeanPerCapitaMaint,VarPerCapitaMaint,MeanPerCapitaActiveDispersal,VarPerCapitaActiveDispersal,MeanSpecGrowth,VarSpecGrowth,MeanSpecDisp,VarSpecDisp,MeanSpecMaint,VarSpecMaint,MeanAvgDist,VarAvgDist,MeanDormFreq,VarDormFreq,TrophicComplexityLevel,ResourceComplexityLevel,SpatialComplexityLevel,MeanEncounter,VarEncounter,IncomingResAgg,MeanIndAgg,VarIndAgg,MeanResAgg,VarResAgg,MeanDeaths,VarDeaths,RunTime
11, -1.25, 2.8875000000000002, 2, 0.1, 0.01, 0.038558100385521106, 10, 9.8, 10, 23.649999999999999, 12.1275, 0, 14.839000000000002, 0.62060900000000019, 1483.9000000000001, 6206.0900000000001, 0.008612383117378223, 2.3816315730312914e-07, 0.00025424713568174837, 2.075582665664904e-10, 0.00207974756804424, 1.3888301865757922e-08, 0.058328221748613893, 5.0066467497064544e-07, 0.017283027038094995, 3.9307424338912366e-08, 0.0057205660345775707, 1.1951308820108794e-09, nan, nan, 0.0, 0.0, 1, 3, 1, 0.050000000000000003, 0.047499999999999987, 0.27157751327026824, 1.6772480128946632, 2.2147854213032572, nan, nan, 2.3500000000000001, 2.7275, 124
12, -1.1000000000000001, 3.0899999999999994, 2, 0.1, 0.01, 0.0455322147807182, 10, 9.8, 10, 20.75, 5.0875000000000004, 0, 8.0700000000000021, 0.57312999999999992, 807.0, 5731.3000000000002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.053928449806882696, 3.4256291582871634e-07, 0.019344057123907001, 1.0542499842025259e-07, 0.0054263451680093356, 2.767592488497838e-08, nan, nan, 0.013199665831244777, 0.00052479779230867464, 2, 3, 3, 0.050000000000000003, 0.047500000000000001, 0.1900798898685627, 3.1470238545349596, 1.5694246108835674, nan, nan, 2.0, 3.2999999999999998, 69
13, -1.3999999999999999, 1.3399999999999999, 6, 0.1, 0.01, 0.07992369272301744, 10, 9.8, 10, 34.399999999999999, 7.1400000000000006, 0, 16.464999999999996, 0.81314500000000023, 1646.5, 8131.4499999999998, 0.0011093986716206265, 3.2343927679870568e-06, 0.00010968810179906119, 3.1618154406160969e-08, 0.0001877647484450818, 9.2650036276614038e-08, 0.055632286903274486, 1.945285119046601e-07, 0.019543889001162211, 1.8842575849767082e-08, 0.0068130576746663922, 2.2458625020525373e-09, nan, nan, 0.0, 0.0, 2, 2, 2, 18.850000000000001, 9.427500000000002, 0.08593705335548042, 4.0469224577028822, 2.0065653252007629, nan, nan, 2.8500000000000001, 2.4274999999999998, 110
14, -1.55, 4.7474999999999996, 9, 0.1, 0.01, 0.020470067757213994, 10, 9.8, 10, 20.600000000000001, 26.740000000000002, 0, 14.490999999999996, 0.53335900000000014, 1449.0999999999999, 5333.5900000000001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.057619195692980532, 6.7023489215230401e-08, 0.02097167968141065, 1.0136986313838519e-07, 0.0068015564160811073, 4.1350674025039322e-09, nan, nan, 0.0, 0.0, 1, 3, 3, 0.050000000000000003, 0.047499999999999987, 0.09161007298641269, 3.44326329527185, 0.39101399584555757, nan, nan, 2.3500000000000001, 3.6275000000000004, 113
15, -0.14999999999999999, 2.7274999999999996, 10, 0.1, 0.01, 0.08786362169943146, 10, 9.8, 10, 33.850000000000001, 55.227499999999999, 0, 8.6905000000000019, 0.47528474999999998, 869.04999999999995, 4752.8474999999999, 0.00048499988288144759, 6.5444335509993811e-07, 5.4803643410949882e-05, 8.3561775406403224e-09, 0.00042912176254341781, 5.1233010351738582e-07, 0.055661503959866097, 3.0305803908924917e-08, 0.01917629798822083, 2.1097115449332696e-09, 0.0058319311038050586, 3.8840092943168753e-09, nan, nan, 0.0, 0.0, 3, 1, 3, 14.5, 21.149999999999999, 0.15441638129140825, 7.6506267367871263, 10.903776122890363, nan, nan, 2.1000000000000001, 2.8900000000000001, 84
16, -1.6000000000000001, 6.7400000000000002, 5, 0.1, 0.01, 0.061035383013009634, 10, 9.8, 10, 37.600000000000001, 44.639999999999993, 0, 36.392499999999998, 1.55597875, 3639.25, 15559.7875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.055810969842902403, 1.5682505777564413e-09, 0.017112728510163773, 1.9790167475875851e-09, 0.010176367770379051, 6.349203471130098e-06, nan, nan, 0.0011363636363636363, 2.4535123966942151e-05, 4, 1, 1, 16.100000000000001, 14.290000000000001, 0.1432960675194284, 1.1312377100291386, 0.16837809216223018, nan, nan, 3.0, 5.5, 177
17, -0.65000000000000002, 2.2275, 7, 0.1, 0.01, 0.061048728344193406, 10, 9.8, 10, 23.949999999999999, 6.9474999999999998, 0, 7.7110000000000003, 0.61247899999999977, 771.10000000000002, 6124.7900000000009, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.051977723912979654, 1.2058264567303496e-07, 0.018337109198003687, 4.3906042710282776e-08, 0.005432689588365412, 1.2870386770428064e-09, nan, nan, 0.0017241379310344827, 5.6480380499405463e-05, 2, 3, 1, 0.0, 0.0, 0.2981455545090268, 1.5195555760102437, 0.51893430966378262, nan, nan, 1.7, 1.8100000000000001, 69
18, -0.59999999999999998, 1.8399999999999999, 6, 0.1, 0.01, 0.04997969999421538, 10, 9.8, 10, 18.350000000000001, 15.727500000000003, 0, 9.4649999999999999, 0.51214499999999996, 946.5, 5121.4499999999998, 0.0084309771435372074, 4.780619265885268e-05, 0.00028433871677985479, 5.4375132937135208e-08, 0.0025978557712043201, 4.5389814267895002e-06, 0.047925766185582933, 1.5971635052600426e-07, 0.018928335815367438, 4.1441486870044705e-08, 0.005873326727426552, 5.4725789764491375e-09, nan, nan, 0.0, 0.0, 2, 3, 1, 0.050000000000000003, 0.047499999999999987, 0.2185910198875095, 2.2332535175448083, 2.4028414425102653, nan, nan, 1.3, 1.4100000000000001, 87
19, -1.3500000000000001, 3.6275000000000004, 3, 0.1, 0.01, 0.06045019871707992, 10, 9.8, 10, 79.650000000000006, 13.127500000000001, 0, 34.131500000000003, 4.7577227500000001, 3413.1500000000001, 47577.227500000001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.054692239007996038, 2.2880671889868457e-07, 0.017523434695822012, 5.1079076813582653e-09, 0.0056379086557631014, 2.8501964819259709e-09, nan, nan, 0.0, 0.0, 2, 1, 3, 30.100000000000001, 12.49, 0.04881671932968118, 5.8101183126411335, 2.9910227444826099, nan, nan, 4.1500000000000004, 3.2275, 116
20, -0.59999999999999998, 2.7399999999999998, 3, 0.1, 0.01, 0.025196708747580718, 10, 9.8, 10, 28.0, 6.2000000000000002, 0, 8.729000000000001, 0.86238899999999996, 872.89999999999998, 8623.8899999999994, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05494448114673308, 4.3061640401872902e-07, 0.019780416674827057, 2.5452298331078095e-08, 0.004831508493782383, 4.1287633501131401e-09, nan, nan, 0.0, 0.0, 3, 3, 3, 0.65000000000000002, 0.52750000000000008, 0.1326014536580566, 2.933185283618132, 0.41784862087575003, nan, nan, 1.8, 1.9600000000000002, 69
